#iter num_samples num_i pi relative_error time_accum
1 960000000 753950844 3.14146185000000000000 .00004163607577912277 26
2 1920000000 1507942267 3.14154638958333333333 .00001472629063026435 115
3 2880000000 2261922777 3.14155941250000000000 .00001058096750831669 199
4 3840000000 3015847977 3.14150830937500000000 .00002684759741070272 296
5 4800000000 3769855479 3.14154623250000000000 .00001477629180821905 365
6 5760000000 4523949263 3.14163143263888888888 .00001234375470434633 462
7 6720000000 5277951990 3.14163808928571428571 .00001446263119770409 559
8 7680000000 6031957359 3.14164445781250000000 .00001648979623402323 648
9 8640000000 6785852559 3.14159840694444444444 .00000183134966459457 738
